id,care_package_name,care_package_remarks,care_package_price,status,created_at,updated_at,care_package_customizable,created_by,last_updated_by
1,GOLD LIFT TREATMENT PACKAGE,Lifts and firms the skin while relieving neck tension. 120-minute premium facial treatment. Package includes 8 sessions with 20% discount. Avoid if you have neck or spine issues.,3712,ENABLED,2024-08-11 20:46:24+08:00,2024-08-11 20:46:24+08:00,true,14,14
2,EYEBROW RESHAPING PACKAGE,Professional eyebrow reshaping for enhanced natural brow definition. Quick 15-minute service. Package includes 15 sessions. Not suitable during pregnancy or if you have sensitive skin.,180,ENABLED,2024-02-22 19:21:07+08:00,2024-02-22 19:21:07+08:00,false,11,11
3,CLASSIC PEDI PACKAGE,Rejuvenating foot care with exfoliation and polish. Professional pedicure service. Package includes 12 sessions with 15% discount. Avoid if you have recent injuries or skin conditions.,387.6,ENABLED,2024-09-11 20:45:20+08:00,2024-09-11 20:45:20+08:00,true,5,5
4,CLASSIC GEL MANI PACKAGE,Complete gel manicure for long-lasting shine and nail care. Professional nail service. Package includes 10 sessions. Not suitable for sensitive or eczema-prone skin.,480,ENABLED,2024-11-25 19:37:55+08:00,2024-11-25 19:37:55+08:00,true,7,7
5,CLASSIC GEL PEDI PACKAGE,Premium gel pedicure with long-lasting polish for feet. Durable and beautiful results. Package includes 8 sessions with 25% discount. Avoid if pregnant or prone to keloids.,408,ENABLED,2023-06-14 14:43:29+08:00,2023-06-14 14:43:29+08:00,false,10,10
6,EYEBROW TOUCH UP PACKAGE,Professional eyebrow touch-up service for maintaining perfect brow shape. Quick maintenance service. Package includes 6 sessions. Avoid if you have sensitive skin or allergy to products.,954,ENABLED,2024-04-04 17:24:08+08:00,2024-04-04 17:24:08+08:00,false,6,6
7,FUNGUS TREATMENT PACKAGE,Specialized fungus treatment for healthier nails and skin. Professional therapeutic service. Package includes 10 sessions with 10% discount. Not suitable if allergic to treatment ingredients or with irritated skin.,972,ENABLED,2024-01-18 10:42:31+08:00,2024-01-18 10:42:31+08:00,true,11,11
8,REFRESHING FACIAL TREATMENT PACKAGE,Soothing 60-minute facial that hydrates and revitalizes skin. Complete facial care experience. Package includes 6 sessions with 30% discount. Avoid if acne-prone or highly sensitive.,369.6,ENABLED,2023-07-25 11:27:41+08:00,2023-07-25 11:27:41+08:00,true,8,8
9,EYE HOT MASK PACKAGE,Relaxing eye hot mask treatment for tired and strained eyes. Soothing eye care service. Package includes 8 sessions. Not suitable for individuals with eye conditions or sensitive eye area.,360,ENABLED,2023-10-22 20:39:04+08:00,2023-10-22 20:39:04+08:00,false,14,14
10,FACE SOFT MASK PACKAGE,Gentle face soft mask treatment for hydration and skin softening. Moisturizing facial treatment. Package includes 10 sessions. Avoid if you have sensitive skin or face allergies.,380,ENABLED,2023-10-22 20:39:04+08:00,2023-10-22 20:39:04+08:00,false,11,11
11,REJUVENATING TREATMENT PACKAGE,Premium 120-minute rejuvenating facial treatment for skin renewal. Advanced anti-aging treatment. Package includes 5 sessions with 20% discount. Not suitable if prone to skin inflammation or allergies.,672,ENABLED,2024-02-21 19:32:08+08:00,2024-02-21 19:32:08+08:00,true,5,5
12,VELLO TREATMENT PACKAGE,Specialized 120-minute Vello treatment for skin improvement. Advanced skincare therapy. Package includes 5 sessions with 15% discount. Not suitable if you have sensitive skin or recent cosmetic procedures.,714,ENABLED,2024-01-05 15:23:25+08:00,2024-01-05 15:23:25+08:00,false,7,7
13,LENITIVE TREATMENT PACKAGE,Calming 120-minute lenitive treatment for sensitive skin. Gentle therapeutic facial. Package includes 4 sessions with 25% discount. Avoid if you have active skin conditions or inflammation.,534,ENABLED,2023-08-10 18:05:14+08:00,2023-08-10 18:05:14+08:00,false,10,10
14,VITAMIN & MINERAL TREATMENT PACKAGE,Nourishing 120-minute vitamin and mineral infusion treatment. Skin nutrition therapy. Package includes 4 sessions with 20% discount. Not suitable if you have vitamin allergies or sensitive skin conditions.,569.6,ENABLED,2024-04-04 17:24:08+08:00,2024-04-04 17:24:08+08:00,false,6,6
15,ADVANCE ACNE TREATMENT PACKAGE,Specialized 120-minute advanced acne treatment for problem skin. Professional acne therapy. Package includes 3 sessions with 35% discount. Avoid if pregnant or using prescription acne medications.,347.7,ENABLED,2024-04-04 17:24:08+08:00,2024-04-04 17:24:08+08:00,true,11,11
16,PROTEINASE REPAIR TREATMENT PACKAGE,Advanced 120-minute proteinase repair treatment for skin restoration. Protein-based skin therapy. Package includes 3 sessions with 30% discount. Avoid if you have protein allergies or highly sensitive skin.,415.8,ENABLED,2024-04-04 17:24:08+08:00,2024-04-04 17:24:08+08:00,true,8,8
17,BIOCELL TREATMENT PACKAGE,Premium 120-minute biocell treatment for cellular skin renewal. Advanced biotechnology facial. Package includes 2 sessions with 25% discount. Not suitable if you have autoimmune conditions or active skin infections.,447,ENABLED,2024-04-04 17:24:08+08:00,2024-04-04 17:24:08+08:00,true,14,14
18,OMEGA FIRMING TREATMENT PACKAGE,Intensive 120-minute omega firming treatment for skin tightening. Anti-aging firming therapy. Package includes 2 sessions with 30% discount. Not suitable for pregnant women or those with pacemakers.,417.2,ENABLED,2024-04-04 17:24:08+08:00,2024-04-04 17:24:08+08:00,true,5,5
19,RF FACIAL TREATMENT PACKAGE,Advanced 120-minute radiofrequency facial treatment for skin firming. High-tech anti-aging treatment. Package includes 2 sessions with 15% discount. Avoid if you have a pacemaker or highly sensitive skin.,676.6,ENABLED,2024-04-04 17:24:08+08:00,2024-04-04 17:24:08+08:00,true,14,14
20,CELL RENEWAL TREATMENT PACKAGE,Ultra-premium 120-minute cell renewal treatment for complete skin rejuvenation. Advanced cellular therapy. Package includes 2 sessions with 10% discount. Not suitable for individuals with compromised immune systems.,864,ENABLED,2024-04-04 17:24:08+08:00,2024-04-04 17:24:08+08:00,true,5,5
21,HYDRO DEWY SKIN BOOSTER PACKAGE,Intensive 90-minute hydro dewy skin booster for ultimate hydration. Premium skin hydration treatment. Package includes 1 session with premium add-ons. Avoid if you have sensitive skin or hyaluronic acid allergies.,580,ENABLED,2024-04-04 17:24:08+08:00,2024-04-04 17:24:08+08:00,true,14,14
22,PDRN BABY SKIN BOOSTER PACKAGE,Revolutionary 90-minute PDRN baby skin booster for skin regeneration. Advanced regenerative treatment. Package includes 1 session with premium service. Not suitable for pregnant or breastfeeding women.,680,ENABLED,2024-04-04 17:24:08+08:00,2024-04-04 17:24:08+08:00,true,5,5
23,B-TOX RENEWAL TREATMENT PACKAGE,"Premium 90-minute B-Tox renewal treatment for skin smoothing. Advanced botox-alternative therapy. Package includes 1 session. Avoid if pregnant, breastfeeding, or have neuromuscular disorders.",680,ENABLED,2024-04-04 17:24:08+08:00,2024-04-04 17:24:08+08:00,true,14,14
24,MACARON REJUVENATING TREATMENT PACKAGE,Luxurious 90-minute macaron rejuvenating treatment for youthful skin. Premium anti-aging facial. Package includes 1 session. Not suitable for individuals with active skin conditions or allergies.,680,ENABLED,2024-04-04 17:24:08+08:00,2024-04-04 17:24:08+08:00,true,5,5
25,COLLAGEN REJUVENATING TREATMENT PACKAGE,Ultimate 90-minute collagen rejuvenating treatment for firmer skin. Premium collagen therapy. Package includes 1 session. Avoid if you have collagen allergies or autoimmune conditions.,780,ENABLED,2024-04-04 17:24:08+08:00,2024-04-04 17:24:08+08:00,true,14,14
26,NCTF 135 HA BOOSTER TREATMENT PACKAGE,Advanced NCTF 135 HA booster for skin rejuvenation and hydration. Premium anti-aging treatment. Package includes 1 session. Not suitable for individuals with hyaluronic acid allergies or compromised skin barrier.,780,ENABLED,2024-04-05 10:15:30+08:00,2024-04-05 10:15:30+08:00,true,15,15
27,SPONGY CLARIFYING REVITALIZING TREATMENT PACKAGE,Deep clarifying and revitalizing treatment for skin purification. Intensive skin renewal therapy. Package includes 1 session. Avoid if you have active acne or extremely sensitive skin.,1080,ENABLED,2024-04-06 11:20:45+08:00,2024-04-06 11:20:45+08:00,true,15,15
28,ULTHERAPY TREATMENT FACE WITH NECK PACKAGE,Revolutionary 90-minute Ultherapy treatment for face and neck lifting. Non-invasive ultrasound therapy. Package includes 1 session. Not suitable for pregnant women or individuals with metal implants.,3000,ENABLED,2024-04-07 14:30:15+08:00,2024-04-07 14:30:15+08:00,true,15,15
29,ULTHERAPY TREATMENT EYE PACKAGE,Precision 45-minute Ultherapy treatment for eye area lifting and tightening. Advanced ultrasound technology. Package includes 1 session. Avoid if you have eye conditions or recent eye surgery.,1800,ENABLED,2024-04-08 16:45:20+08:00,2024-04-08 16:45:20+08:00,true,15,15
30,ULTHERAPY TREATMENT NECK PACKAGE,Specialized 45-minute Ultherapy treatment for neck firming and contouring. Non-invasive skin tightening. Package includes 1 session. Not suitable for individuals with thyroid conditions or neck implants.,1800,ENABLED,2024-04-09 13:25:10+08:00,2024-04-09 13:25:10+08:00,true,15,15
31,RELAXING EYE MASK PACKAGE,Gentle 20-minute relaxing eye mask for tired and stressed eyes. Soothing and hydrating treatment. Package includes 15 sessions with 20% discount. Avoid if you have active eye infections.,456,ENABLED,2024-04-10 09:40:30+08:00,2024-04-10 09:40:30+08:00,true,15,15
32,CONCENTRATED EYE TREATMENT PACKAGE,Intensive 45-minute concentrated eye treatment for anti-aging and firming. Advanced eye care therapy. Package includes 8 sessions with 15% discount. Not suitable for extremely sensitive eye area.,462.4,ENABLED,2024-04-11 12:15:45+08:00,2024-04-11 12:15:45+08:00,true,15,15
33,ALGAE EYE TREATMENT PACKAGE,Nourishing 60-minute algae eye treatment for hydration and regeneration. Marine-based eye therapy. Package includes 6 sessions with 25% discount. Avoid if you have marine allergies.,396,ENABLED,2024-04-12 15:20:25+08:00,2024-04-12 15:20:25+08:00,true,15,15
34,RF EYE TREATMENT PACKAGE,Advanced 60-minute radiofrequency eye treatment for firming and lifting. High-tech eye rejuvenation. Package includes 4 sessions with 30% discount. Not suitable for individuals with pacemakers.,526.4,ENABLED,2024-04-13 17:35:40+08:00,2024-04-13 17:35:40+08:00,true,15,15
35,NECK LYMPHATIC DRAINAGE PACKAGE,Therapeutic 45-minute neck lymphatic drainage for detoxification and relaxation. Wellness-focused neck therapy. Package includes 10 sessions with 25% discount. Avoid if you have lymphatic disorders.,660,ENABLED,2024-04-14 11:50:15+08:00,2024-04-14 11:50:15+08:00,true,15,15
36,REFRESHING CICA PACKAGE,Calming treatment using Cica to reduce redness and sensitivity. Not recommended for very dry or irritated skin.,348,ENABLED,2025-02-02 16:00:00+08:00,2025-02-02 16:00:00+08:00,true,1,1
37,F SOFT + E HOT PACKAGE,Stimulates collagen while our marine algae eye treatment reduces puffiness for a completely refreshed look.,540,ENABLED,2025-02-03 16:00:00+08:00,2025-02-03 16:00:00+08:00,true,1,1