id,member_id,servicing_employee_id,appointment_date,start_time,end_time,remarks,created_at,created_by,updated_at,updated_by
1,51,14,2025-02-01 00:00:00+00,2025-02-01 04:00:00+00,2025-02-01 06:00:00+00,"5D Lash 10,11,12 (2 Hours)",2025-01-18 04:00:00+00,14,,
2,51,14,2025-02-02 00:00:00+00,2025-02-02 04:00:00+00,2025-02-02 06:00:00+00,Touch up Lash (1 Hour),2025-01-19 04:00:00+00,14,,
3,51,14,2025-02-04 00:00:00+00,2025-02-04 04:00:00+00,2025-02-04 06:00:00+00,"5D Lash 9,10,11,12 (2 Hours)",2025-01-21 04:00:00+00,14,,
4,51,14,2025-02-07 00:00:00+00,2025-02-07 04:00:00+00,2025-02-07 06:00:00+00,Touch up Lash $25 (1 Hour),2025-01-24 04:00:00+00,14,,
5,23,14,2025-03-02 00:00:00+00,2025-03-02 06:30:00+00,2025-03-02 08:30:00+00,"5D Lash 9,10,11,12 (2 Hours)",2025-01-31 06:30:00+00,14,,
6,23,14,2025-03-03 00:00:00+00,2025-03-03 06:30:00+00,2025-03-03 08:30:00+00,FOC Touch up Lash (1 Hour),2025-01-22 06:30:00+00,14,,
7,23,14,2025-03-21 00:00:00+00,2025-03-21 06:30:00+00,2025-03-21 08:30:00+00,"5D Lash 9,10,11,12 (2 Hours)",2025-01-20 06:30:00+00,14,,
8,23,14,2025-03-22 00:00:00+00,2025-03-22 06:30:00+00,2025-03-22 08:30:00+00,FOC Touch up Lash (1 Hour),2025-01-21 06:30:00+00,14,,
9,23,14,2025-03-23 00:00:00+00,2025-03-23 06:30:00+00,2025-03-23 08:30:00+00,Touch up Lash $25 (1 Hour),2025-01-21 06:30:00+00,14,,
10,9,14,2025-02-02 00:00:00+00,2025-02-02 07:00:00+00,2025-02-02 09:00:00+00,GOLD LIFT TREATMENT (1 Hour 30 Mins),2024-12-04 07:00:00+00,14,,
11,46,11,2025-03-27 00:00:00+00,2025-03-27 04:30:00+00,2025-03-27 06:30:00+00,EYEBROW SHAPING (2 Hours),2025-01-26 04:30:00+00,11,2025-01-31 04:30:00+00,11
12,9,5,2025-04-21 00:00:00+00,2025-04-21 06:00:00+00,2025-04-21 07:00:00+00,CLASSIC PEDI (45 Mins),2025-01-31 05:15:00+00,5,2025-02-01 05:15:00+00,5
13,15,7,2025-01-11 00:00:00+00,2025-01-11 02:30:00+00,2025-01-11 04:30:00+00,CLASSIC MANI + CLASSIC PEDI (1 Hour 30 Mins),2024-12-28 02:45:00+00,7,2024-12-31 02:45:00+00,7
14,19,10,2025-02-17 00:00:00+00,2025-02-17 03:00:00+00,2025-02-17 05:00:00+00,GEL MANI + GEL PEDI (2 Hours),2025-02-03 03:15:00+00,10,2025-02-04 03:15:00+00,10
15,9,14,2025-04-06 00:00:00+00,2025-04-06 02:00:00+00,2025-04-06 03:30:00+00,GOLD LIFT TREATMENT (1 Hour 30 Mins),2025-02-03 03:15:00+00,14,,
16,46,11,2025-04-06 00:00:00+00,2025-04-06 02:00:00+00,2025-04-06 04:00:00+00,EYEBROW SHAPING (2 Hours),2025-02-03 03:15:00+00,11,,
17,9,5,2025-04-06 00:00:00+00,2025-04-06 03:30:00+00,2025-04-06 04:30:00+00,CLASSIC PEDI (45 Mins),2025-02-03 03:15:00+00,5,,
18,15,7,2025-04-06 00:00:00+00,2025-04-06 03:30:00+00,2025-04-06 05:00:00+00,CLASSIC MANI + CLASSIC PEDI (1 Hour 30 Mins),2025-02-03 03:15:00+00,7,,
19,19,10,2025-04-06 00:00:00+00,2025-04-06 04:00:00+00,2025-04-06 06:00:00+00,GEL MANI + GEL PEDI (2 Hours),2025-02-03 03:15:00+00,10,,
20,29,6,2025-04-06 00:00:00+00,2025-04-06 05:00:00+00,2025-04-06 07:00:00+00,EYEBROW TOUCHUP (2 Hours),2025-02-03 03:15:00+00,6,,
21,28,11,2025-04-06 00:00:00+00,2025-04-06 05:30:00+00,2025-04-06 07:30:00+00,FUNGUS TREATMENT (2 Hours),2025-02-03 03:15:00+00,11,,
22,4,8,2025-04-06 00:00:00+00,2025-04-06 07:00:00+00,2025-04-06 08:30:00+00,REFRESHING FACIAL TREATMENT (1 hour 30 Mins),2025-02-03 03:15:00+00,8,,
23,46,14,2025-04-06 00:00:00+00,2025-04-06 08:00:00+00,2025-04-06 09:00:00+00,OMEGA NECK TREATMENT (45 Mins),2025-02-03 03:15:00+00,14,,
24,9,11,2025-04-06 00:00:00+00,2025-04-06 08:30:00+00,2025-04-06 09:30:00+00,NATURAL EYELASH EXTENSION (1 Hour),2025-02-03 03:15:00+00,11,,